url,len_url,len_component,count_digits_component,count_letters_component,ratio_digits_component_url,ratio_letters_component_url,count_dots_url,count_percent_url,count_hash_url,count_ats_url,count_embed_url,use_https,no_of_directories,contains_ip_address,character_continuity_rate_url,shannon_entropy_url
https://aiwebbyvotettytryr6.pages.dev/index_files/index_files/index_files/index_files/b67d172d5783.js.download,110,73,9,53,0.08181818181818182,0.4818181818181818,4,0,0,0,1,True,5,0,0.03636363636363636,4.56422641891157
https://aiwebbyvotettytryr6.pages.dev/index_files/index_files/index_files/index_files/b67d172d5783.js.download,110,73,9,53,0.08181818181818182,0.4818181818181818,4,0,0,0,1,True,5,0,0.03636363636363636,4.56422641891157
http://yjbwc.blogspot.com/,26,1,0,0,0,0,2,0,0,0,1,False,1,0,0.07692307692307693,3.844106544814538
http://facebookbusiness0078.blogspot.hk/,40,1,0,0,0,0,2,0,0,0,1,False,1,0,0.125,4.265311532225101
http://metamask-wallett.blogspot.pt/,36,1,0,0,0,0,2,0,0,0,1,False,1,0,0.1111111111111111,3.817951821912948
http://gs26s88ja7hs62gs6s62fs6fswwee2002s62fs25s6a7762agstwg26.pages.dev/,73,1,0,0,0,0,2,0,0,0,1,False,1,0,0.0958904109589041,3.9780125312105694
https://mftjg.blogspot.am/,26,1,0,0,0,0,2,0,0,0,1,True,1,0,0.07692307692307693,3.748328660365574
http://bbhjq.blogspot.li/,25,1,0,0,0,0,2,0,0,0,1,False,1,0,0.12,3.6732696895151076
http://5fgfgfgfg4g4gh4fgs.blogspot.com.eg/,42,1,0,0,0,0,3,0,0,0,1,False,1,0,0.047619047619047616,3.727712589487452
http://metamasskluginn.blogspot.ba/,35,1,0,0,0,0,2,0,0,0,1,False,1,0,0.11428571428571428,4.0360069453309535
http://jyteb.blogspot.md/,25,1,0,0,0,0,2,0,0,0,1,False,1,0,0.08,3.813660689688185
https://whftx.blogspot.md/,26,1,0,0,0,0,2,0,0,0,1,True,1,0,0.07692307692307693,3.8252517372886508
http://claim-uang10juta-anda.cs-suport.my.id/,45,1,0,0,0,0,3,0,0,0,1,False,1,0,0.044444444444444446,4.32231553003877
https://mftjf.blogspot.hr/,26,1,0,0,0,0,2,0,0,0,1,True,1,0,0.07692307692307693,3.7483286603655737
http://fgbnx.blogspot.co.id/,28,1,0,0,0,0,3,0,0,0,1,False,1,0,0.07142857142857142,3.91379956460568
http://ofertasimperdiveis.site/,31,1,0,0,0,0,1,0,0,0,1,False,1,0,0.06451612903225806,3.744203568311812
http://yahoo-mail-109319.weeblysite.com/,40,1,0,0,0,0,2,0,0,0,1,False,1,0,0.1,4.3464393446710154
http://garanti-tr.firebaseapp.com/,34,1,0,0,0,0,2,0,0,0,1,False,1,0,0.08823529411764706,4.02085512047121
http://bafybeicnhdmoa2qzsktg5lvcneune47lpvvygzn44vvzfx5zgv27u32koq.ipfs.dweb.link/,82,1,0,0,0,0,3,0,0,0,1,False,1,0,0.06097560975609756,4.867575596023873
http://tmhyv.blogspot.com/,26,1,0,0,0,0,2,0,0,0,1,False,1,0,0.07692307692307693,3.719294525666979
http://bafybeia33cpofmebwylumg3anbxlt7ltkarjemgt422o4nketoskts2bpe.ipfs.dweb.link/,82,1,0,0,0,0,3,0,0,0,1,False,1,0,0.04878048780487805,4.671943352365745
https://pub-8d4e3f9f7e0d427883d20315ec87c7d1.r2.dev/usa/index.html,66,15,0,12,0,0.18181818181818182,3,0,0,0,1,True,2,0,0.045454545454545456,4.708955248336975
http://facebookbusiness0078.blogspot.tw/,40,1,0,0,0,0,2,0,0,0,1,False,1,0,0.125,4.284183719779189
http://telstra-100578.weeblysite.com/,37,1,0,0,0,0,2,0,0,0,1,False,1,0,0.10810810810810811,4.334736393288403
